ID_Inicio,ID_Fim,Modelo,Tipo,Categoria
501,510,Elétricos Articulados SIEMENS,Elétrico,Articulado
601,615,Elétricos Articulados CAF,Elétrico,Articulado
541,585,Elétricos Remodelados,Elétrico,Remodelado
201,240,Mini Mercedes Sprinter,Autocarro,Mini
251,278,Mini MAN,Autocarro,Mini
401,414,Mini Karsan,Autocarro,Mini
1700,1799,Standard Volvo,Autocarro,Standard
2201,2500,Standard MAN,Autocarro,Standard
2601,2820,Standard MAN GNC,Autocarro,Standard
2821,2844,Articulado MAN,Autocarro,Articulado
2941,2997,Médio MAN,Autocarro,Médio
4600,4699,Articulado Mercedes,Autocarro,Articulado
4800,4899,Articulado Mercedes GNC,Autocarro,Articulado
5000,5999,Standard Scania,Autocarro,Standard
6000,6999,Standard Caetano,Autocarro,Standard
